steps, avg_per_100
25066,-2.180627221787446 
53183,-2.2819727065832613 
86076,-2.4697163175268724 
120885,-2.5094676639817797 
160847,-2.6468328878535576 
199180,-2.5460895862316426 
238586,-2.591856143023025 
278189,-2.556636667610237 
317278,-2.593885572289992 
359008,-2.663065915564785 
398884,-2.589646449393226 
442970,-2.8770211039989504 
488849,-2.8749731623555586 
537098,-2.8624818801066905 
581041,-2.7496571117671094 
620728,-2.5133003277050903 
663967,-2.593351725136608 
704500,-2.6470853909515784 
742296,-2.5617010128997 
783164,-2.5826432653157267 
820736,-2.444824317592336 
861969,-2.5943195945125477 
903218,-2.5864531555642984 
940029,-2.3694682841098667 
981559,-2.546642591452287 
1022681,-2.4831071155516127 
1065047,-2.4791993683890454 
1102530,-2.3565111049672733 
1137930,-2.3222574853703204 
1176595,-2.586242413930054 
1217190,-2.5546026728744944 
1255807,-2.5212375098723294 
1294367,-2.5893044949221515 
1338742,-2.7095125167109613 
1383409,-2.761412141303433 
1424600,-2.730225101293186 
1458250,-2.3501436261325073 
1499160,-2.6260314978876647 
1543405,-2.65309838309643 
1586493,-2.6761121097912444 
1629356,-2.666100253781525 
1668587,-2.5353787319505408 
1712262,-2.702810412651211 
1751912,-2.5867796310957063 
1790734,-2.5461637958273853 
1825929,-2.42220910736855 
1862300,-2.3270445181844104 
1900988,-2.5192750992348167 
1938807,-2.380757352456232 
1974678,-2.382712208914448 
2012534,-2.4112578027611375 
2047786,-2.320118912901367 
2082691,-2.2918777680813274 
2117591,-2.37789207752311 
2152073,-2.4857090326625264 
2183633,-2.1282722054789995 
2216105,-2.110238994854603 
2249176,-2.179622324675671 
2284412,-2.23421579480694 
2317908,-2.1924647284852923 
2350821,-2.137333607559625 
2384512,-2.192717915341653 
2418479,-2.1804092003586693 
2451288,-2.101360341716504 
2479288,-2.254099990219646 
2506951,-2.3444066602074236 
2534877,-2.4002283215275053 
2562619,-2.4202809473108324 
2591126,-2.2551811349692907 
2618973,-2.2127836191118018 
2650240,-2.1231094967781297 
2682724,-2.102662897479288 
2718397,-2.1794946119293512 
2755762,-2.2830742684165406 
2794705,-2.351344739658322 
2834320,-2.430631157426898 
2869543,-2.262917217113881 
2905216,-2.354600294318568 
2942918,-2.3699626232065043 
2977585,-2.2825796443101654 
3010698,-2.293968057141876 
3042258,-2.1857147506849306 
3070471,-2.1192237744896887 
3099492,-2.266546526827846 
3130024,-2.3431524538139543 
3167973,-2.600302717628297 
3202649,-2.4038980215024592 
3233191,-2.3603431453383537 
3262293,-2.2721913579736106 
3292330,-2.2447884922697696 
3321143,-2.1839912026869475 
3353165,-2.195216921652479 
3385323,-2.143691394695844 
3421029,-2.259399493103134 
3455666,-2.2316318602405003 
3491070,-2.298957232632089 
3523224,-2.3643849327588 
3556486,-2.447450684216761 
3589264,-2.267438519491222 
3620395,-2.304824829778783 
3651186,-2.3981646355599846 
3687156,-2.4252947933133866 
3723029,-2.377144111813665 
3754125,-2.2346282859507394 
3782864,-2.2520307949339897 
3813183,-2.266044449989679 
3843142,-2.32050048014337 
3870701,-2.41927390467199 
3898163,-2.41816058628035 
3927026,-2.4898879820336237 
3956518,-2.484784923688579 
3985197,-2.332128934183723 
4013290,-2.2376877834420643 
4046695,-2.4220368496681375 
4085089,-2.5851381266676596 
4129805,-2.589157707125251 
4164576,-2.3122049279236 
4200740,-2.3407719715256707 
4232580,-2.4605980949445407 
4269946,-2.6365137491477997 
4305643,-2.3122578570406738 
4343624,-2.3409363521309157 
4379970,-2.35244645111861 
4417975,-2.359783503113021 
4455002,-2.29176203449108 
4493664,-2.390622051800459 
4531278,-2.289123153871504 
4570467,-2.4400177135359784 
4607290,-2.2254268832206425 
4645711,-2.4668885666827833 
4680467,-2.2626118574523044 
4713224,-2.2508030225917897 
4744137,-2.3955465346371656 
4774718,-2.2632577003429195 
4808911,-2.4864524680918696 
4843472,-2.3842927033179344 
4877173,-2.4052879218611363 
4909452,-2.153709590407285 
4938841,-2.286700249488575 
4967132,-2.3092555926823666 
4995392,-2.4415559473856603 
5022638,-2.4484310956361894 
5051058,-2.4363366979027288 
